level,csv_key_value,reason
CAD,0,duplicate_csv_join_key
CAD,10110,duplicate_csv_join_key
CAD,10150,duplicate_csv_join_key
CAD,10210,duplicate_csv_join_key
CAD,10250,duplicate_csv_join_key
CAD,10310,duplicate_csv_join_key
CAD,10350,duplicate_csv_join_key
CAD,10410,duplicate_csv_join_key
CAD,10450,duplicate_csv_join_key
CAD,10510,duplicate_csv_join_key
CAD,10550,duplicate_csv_join_key
CAD,10610,duplicate_csv_join_key
CAD,10650,duplicate_csv_join_key
CAD,21111,duplicate_csv_join_key
CAD,21133,duplicate_csv_join_key
CAD,21144,duplicate_csv_join_key
CAD,21166,duplicate_csv_join_key
CAD,21177,duplicate_csv_join_key
CAD,21188,duplicate_csv_join_key
CAD,21211,duplicate_csv_join_key
CAD,21219,duplicate_csv_join_key
CAD,21227,duplicate_csv_join_key
CAD,21235,duplicate_csv_join_key
CAD,21243,duplicate_csv_join_key
CAD,21251,duplicate_csv_join_key
CAD,21259,duplicate_csv_join_key
CAD,21267,duplicate_csv_join_key
CAD,21275,duplicate_csv_join_key
CAD,21283,duplicate_csv_join_key
CAD,21311,duplicate_csv_join_key
CAD,21314,duplicate_csv_join_key
CAD,21317,duplicate_csv_join_key
CAD,21321,duplicate_csv_join_key
CAD,21324,duplicate_csv_join_key
CAD,21327,duplicate_csv_join_key
CAD,21331,duplicate_csv_join_key
CAD,21334,duplicate_csv_join_key
CAD,21337,duplicate_csv_join_key
CAD,21341,duplicate_csv_join_key
CAD,21344,duplicate_csv_join_key
CAD,21347,duplicate_csv_join_key
CAD,21351,duplicate_csv_join_key
CAD,21354,duplicate_csv_join_key
CAD,21357,duplicate_csv_join_key
CAD,21361,duplicate_csv_join_key
CAD,21364,duplicate_csv_join_key
CAD,21367,duplicate_csv_join_key
CAD,21371,duplicate_csv_join_key
CAD,21374,duplicate_csv_join_key
CAD,21377,duplicate_csv_join_key
CAD,21381,duplicate_csv_join_key
CAD,21391,duplicate_csv_join_key
CAD,21394,duplicate_csv_join_key
CAD,21397,duplicate_csv_join_key
CAD,21411,duplicate_csv_join_key
CAD,21416,duplicate_csv_join_key
CAD,21421,duplicate_csv_join_key
CAD,21426,duplicate_csv_join_key
CAD,21431,duplicate_csv_join_key
CAD,21436,duplicate_csv_join_key
CAD,21441,duplicate_csv_join_key
CAD,21446,duplicate_csv_join_key
CAD,21451,duplicate_csv_join_key
CAD,21456,duplicate_csv_join_key
CAD,21461,duplicate_csv_join_key
CAD,21466,duplicate_csv_join_key
CAD,21471,duplicate_csv_join_key
CAD,21476,duplicate_csv_join_key
CAD,21481,duplicate_csv_join_key
CAD,21487,duplicate_csv_join_key
CAD,22001,duplicate_csv_join_key
CAD,22002,duplicate_csv_join_key
CAD,22111,duplicate_csv_join_key
CAD,22155,duplicate_csv_join_key
CAD,22211,duplicate_csv_join_key
CAD,22228,duplicate_csv_join_key
CAD,22245,duplicate_csv_join_key
CAD,22262,duplicate_csv_join_key
CAD,22279,duplicate_csv_join_key
CAD,22311,duplicate_csv_join_key
CAD,22319,duplicate_csv_join_key
CAD,22327,duplicate_csv_join_key
CAD,22335,duplicate_csv_join_key
CAD,22343,duplicate_csv_join_key
CAD,22351,duplicate_csv_join_key
CAD,22359,duplicate_csv_join_key
CAD,22367,duplicate_csv_join_key
CAD,22375,duplicate_csv_join_key
CAD,22383,duplicate_csv_join_key
CAD,22391,duplicate_csv_join_key
CAD,22411,duplicate_csv_join_key
CAD,22415,duplicate_csv_join_key
CAD,22423,duplicate_csv_join_key
CAD,22427,duplicate_csv_join_key
CAD,22431,duplicate_csv_join_key
CAD,22435,duplicate_csv_join_key
CAD,22439,duplicate_csv_join_key
CAD,22443,duplicate_csv_join_key
CAD,22447,duplicate_csv_join_key
CAD,22451,duplicate_csv_join_key
CAD,22455,duplicate_csv_join_key
CAD,22459,duplicate_csv_join_key
CAD,22467,duplicate_csv_join_key
CAD,22471,duplicate_csv_join_key
CAD,22475,duplicate_csv_join_key
CAD,22479,duplicate_csv_join_key
CAD,22483,duplicate_csv_join_key
CAD,22487,duplicate_csv_join_key
CAD,22515,duplicate_csv_join_key
CAD,22519,duplicate_csv_join_key
